
plane_1;1;{"x":0,"y":0,"z":0};3001;1722189576272
plane_2;2;{"x":0,"y":0,"z":0};3002;1722189576310
plane_3;3;{"x":0,"y":0,"z":0};3003;1722189576305
plane_4;4;{"x":0,"y":0,"z":0};3004;1722189576275
plane_5;5;{"x":0,"y":0,"z":0};3005;1722189576299
plane_6;6;{"x":0,"y":0,"z":0};3006;1722189576291
plane_7;7;{"x":0,"y":0,"z":0};3007;1722189576294
plane_8;8;{"x":0,"y":0,"z":0};3008;1722189576297
plane_9;9;{"x":0,"y":0,"z":0};3009;1722189576285
plane_10;10;{"x":0,"y":0,"z":0};30010;1722189576288
plane_11;11;{"x":0,"y":0,"z":0};30011;1722189576302
plane_12;12;{"x":0,"y":0,"z":0};30012;1722189576277
plane_13;13;{"x":0,"y":0,"z":0};30013;1722189576280
plane_14;14;{"x":0,"y":0,"z":0};30014;1722189576283
plane_15;15;{"x":0,"y":0,"z":0};30015;1722189576307
